NAME,RARITY,ELEMENT
aether,5,
aloy,5,cryo
lumine,5,
wonderland manekin,5,
wonderland manekina,5,
dainsleif,4,hydro
skirk,5,cryo
albedo,5,geo
amber,4,pyro
barbara,4,hydro
bennett,4,pyro
chasca,5,anemo
citlali,5,cryo
diluc,5,pyro
diona,4,cryo
eula,5,cryo
fischl,4,electro
iansan,4,electro
ifa,4,anemo
jean,5,anemo
kaeya,4,cryo
klee,5,pyro
lisa,4,electro
lohen,5,cryo
mika,4,cryo
mona,5,hydro
noelle,4,geo
razor,4,electro
rosaria,4,cryo
sucrose,4,anemo
venti,5,anemo
varka,5,anemo
durin,5,pyro
baizhu,5,dendro
beidou,4,electro
chongyun,4,cryo
gaming,4,pyro
ganyu,5,cryo
hu tao,5,pyro
keqing,5,electro
lan yan,4,anemo
ningguang,4,geo
qiqi,5,cryo
shenhe,5,cryo
xiangling,4,pyro
xianyun,5,anemo
xiao,5,anemo
xingqiu,4,hydro
xinyan,4,pyro
yanfei,4,pyro
yaoyao,4,dendro
yelan,5,hydro
yumemizuki mizuki,5,anemo
yun jin,4,geo
zhongli,5,geo
zibai,5,geo
arataki itto,5,geo
ayaka,5,cryo
ayato,5,hydro
dahlia,4,hydro
gorou,4,geo
heizou,4,anemo
kaedehara kazuha,5,anemo
kirara,4,dendro
kokomi,5,hydro
kuki shinobu,4,electro
miko,5,electro
raiden shogun,5,electro
sara,4,electro
sayu,4,anemo
thoma,4,pyro
yoimiya,5,pyro
alhaitham,5,dendro
candace,4,hydro
collei,4,dendro
cyno,5,electro
dehya,5,pyro
dori,4,electro
faruzan,4,anemo
kaveh,4,dendro
layla,4,cryo
nahida,5,dendro
nilou,5,hydro
sethos,4,electro
tighnari,5,dendro
wanderer,5,anemo
arlecchino,5,pyro
charlotte,4,cryo
chevreuse,4,pyro
chiori,5,geo
clorinde,5,electro
emilie,5,dendro
escoffier,5,cryo
freminet,4,cryo
furina,5,hydro
lynette,4,anemo
lyney,5,pyro
navia,5,geo
neuvillette,5,hydro
sigewinne,5,hydro
wriothesley,5,cryo
tartaglia,5,hydro
odette,4,hydro
alyosha,4,electro
sandrone,4,electro
kachina,4,geo
kinich,5,dendro
mavuika,5,pyro
mualani,5,hydro
ororon,4,electro
varesa,5,electro
xilonen,5,geo
aino,4,hydro
flins,5,electro
ineffa,5,electro
lauma,5,dendro
nefer,5,dendro
illuga,4,geo
columbina,5,hydro
jahoda,4,anemo
linnea,5,geo
nicole,5,pyro
prune,4,anemo
